domain,fhem_device,ha_name,addresses,room,notes
review,EG_Buero_Soll,,5/0/81,,duplicate setpoint
climate,TH_EG_Buero,TH_EG_Buero,5/0/75; 5/0/77; 5/0/79; 5/0/80; 5/0/81,"Buero,KNX,homebridge",climate; binary sensors for heiz/kuehl
cover,Jalousie_EG_Buero_Fenster_Garten,Jalousie_EG_Buero_Fenster_Garten,4/0/79; 4/0/76; 4/0/77; 4/0/78,"Buero,KNX,homebridge",cover
cover,Jalousie_EG_Buero_Fenster_Vorgarten,Jalousie_EG_Buero_Fenster_Vorgarten,4/0/83; 4/0/80; 4/0/81; 4/0/82,"Buero,KNX,homebridge",cover
cover,Jalousie_EG_Wohnzimmer_Panorama,Jalousie_EG_Wohnzimmer_Panorama,4/0/59; 4/0/56; 4/0/57; 4/0/58,"Wohnzimmer,KNX,homebridge",cover
cover,Jalousie_EG_Wohnzimmer_Terrasse,Jalousie_EG_Wohnzimmer_Terrasse,4/0/63; 4/0/60; 4/0/61; 4/0/62,"Wohnzimmer,KNX,homebridge",cover
cover,Jalousie_EG_Kueche_Terrasse,Jalousie_EG_Kueche_Terrasse,4/0/67; 4/0/64; 4/0/65; 4/0/66,"Kueche,KNX,homebridge",cover
cover,Jalousie_EG_Kueche_Seite,Jalousie_EG_Kueche_Seite,4/0/71; 4/0/68; 4/0/69; 4/0/70,"Kueche,KNX,homebridge",cover
cover,Jalousie_EG_Kueche_Nebeneingang,Jalousie_EG_Kueche_Nebeneingang,4/0/75; 4/0/72; 4/0/73; 4/0/74,"Kueche,KNX,homebridge",cover
cover,Jalousie_EG_Kueche_Sonnensegel,Jalousie_EG_Kueche_Sonnensegel,4/0/97; 4/0/94; 4/0/95; 4/0/96,"Kueche,KNX,homebridge",cover
cover,Jalousie_OG_Schlafzimmer_Innen_Front,Jalousie_OG_Schlafzimmer_Innen_Front,4/2/3; 4/2/0; 4/2/1; 4/2/2,"Schlafzimmer,KNX,homebridge","cover; position_address aus Sicherheitsgründen weggelassen: ETS-Name zu 4/2/3 lautet 'OG Bad 3x innen KZ ', nicht JP. | position_state_address aus Sicherheitsgründen weggelassen: ETS-Name zu 4/2/2 lautet 'OG Bad 3x innen LZ', nicht R JP."
cover,Jalousie_OG_Schlafzimmer_Innen_Panorama,Jalousie_OG_Schlafzimmer_Innen_Panorama,4/1/23; 4/1/20; 4/1/21; 4/1/22,"Schlafzimmer,KNX,homebridge",cover
cover,Jalousie_OG_Schlafzimmer_Aussen_Front_1,Jalousie_OG_Schlafzimmer_Aussen_Front_1,4/0/43; 4/0/40; 4/0/41; 4/0/42,"Schlafzimmer_hidden,KNX",cover
cover,Jalousie_OG_Schlafzimmer_Aussen_Front_2,Jalousie_OG_Schlafzimmer_Aussen_Front_2,4/0/39; 4/0/36; 4/0/37; 4/0/38,"Schlafzimmer_hidden,KNX",cover
cover,Jalousie_OG_Schlafzimmer_Aussen_Front_3,Jalousie_OG_Schlafzimmer_Aussen_Front_3,4/0/47; 4/0/44; 4/0/45; 4/0/46,"Schlafzimmer_hidden,KNX",cover
